Gold;Predicted;rouge1;rouge2;rougeL;rougeLsum;precision;recall;f1;bleu;precisions;brevity_penalty;length_ratio;translation_length;reference_length;perplexities;mean_perplexity;Unnamed: 17;blanc_help_score;blanc_tune_score;lens_score;sari_score;sari_add_score;sari_keep_score;sari_del_score;QuestEval_FScore;QuestEval_Precision;QuestEval_Recall;challenge_SpokenLanguage;challenge_SpokenLanguage_freq;challenge_SpeakerDynamics;challenge_SpeakerDynamics_freq;challenge_Coref;challenge_Coref_freq;challenge_HierarchicalDiscouse;challenge_HierarchicalDiscouse_freq;challenge_ContextualTurns;challenge_ContextualTurns_freq;challenge_ImplicitContext;challenge_ImplicitContext_freq;challenge_DecisionDynamics;challenge_DecisionDynamics_freq;challenge_LowInfo;challenge_LowInfo_freq;error_MissingInfo;error_MissingInfo_impact;error_TotalOmission;error_TotalOmission_impact;error_PartialOmission;error_PartialOmission_impact;error_Redundancy;error_Redundancy_impact;error_WrongRef;error_WrongRef_impact;error_IncorrectReasoning;error_IncorrectReasoning_impact;error_Hallucination;error_Hallucination_impact;error_Intrinsic;error_Intrinsic_impact;error_Extrinsic;error_Extrinsic_impact;error_Incoherence;error_Incoherence_impact;error_LinguisticInaccuracy;error_LinguisticInaccuracy_impact;error_StructuralDisorganization;error_StructuralDisorganization_impact
The meeting started with the tabling of documents, followed by petitions by various members of the house. The petitions included help for groups such as environment-protecting groups seeking assistance from the Government. The meeting then transitioned to statements by its members regarding the current successes and failures of their constituents. Finally, members got to question the ministers on various issues such as scrutiny on spending and providing assistance, financial or otherwise, to groups affected by COVID-19.;"This is the 20th meeting of the Special Committee on the COVID-19 Pandemic.
The meeting began with the introduction of a bill to extend the CERB for Canadians living with disabilities.
The Minister of Finance introduced the bill, which was to increase the scope of the wage subsidy and increase the flexibility of the program.
The bill was to be debated and voted on by the members of Parliament.
In the end, the meeting ended with a discussion about the impact of COVID on the lives of Canadians with disabilities and the impact on the economy.
The Prime Minister promised to continue to support the efforts of the government.";0.2872340425531914;0.075268817204301;0.1914893617021276;0.2127659574468085;0.8623047471046448;0.8605858087539673;0.8614444136619568;0.0;0.08134426376555312;1.0;1.3928571428571428;117;84;16.199865341186523;16.199865341186523;;0.0816326530612244;0.0612244897959183;69.53886309908248;36.10971987326207;0.0;8.661996404389235;99.66716321539695;0.1416606862996486;0.1578869711578762;0.1254344014414211;0;0;1;2;1;1;1;5;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
This meeting was the eleventh evidence session on the Children Abolition of Defense of Reasonable Publishment Wales Bill. Barry Hughes was there to answer questions related to the Bill. Six main topics that had been discussed or explained. The first one was how the Bill protected the children in terms of prosecutions. The second part explained the divergence between regions and the Bill's implication on England. The third part explained how the law was implemented, and the fourth talked about prosecutions and potential alternatives. Barry Hughes then further explained our-of-court disposals and responded to a specific infrastructure for these cases. In the last part, the meeting turned to discuss a number of unintended consequences related to the Bill.;"This is the eleventh evidence session on the Children (Abolition of Defence of Reasonable Punishment) Bill.
Firstly, Barry Hughes, Chief Crown Prosecutor for Wales, introduced the Children and Young People and Education Bill.
The Bill was introduced in 2007.
It was aimed at addressing the divergence between the criminal law in Wales and England and the CPS guidelines.
Secondly, the Bill was designed to address the public interest in criminal law.
The bill was designed for the purpose of reducing the number of criminal charges and to make it more relevant to the criminal justice system.";0.488479262672811;0.1767441860465116;0.3317972350230415;0.3502304147465437;0.8758933544158936;0.8543730974197388;0.8649994134902954;0.1007898338557163;0.20466298414191203;0.830950389901292;0.84375;108;128;21.16220474243164;21.16220474243164;;0.1944444444444444;0.0833333333333333;63.75527285570867;44.2424061344362;0.0;33.07867003435204;99.64854836895658;0.1471191389059401;0.2613553070093838;0.0328829708024963;1;1;1;2;1;2;1;3;1;1;0;0;0;0;1;2;1;5;1;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
This meeting was a Children, Young People and Education Committee, and it was conducted in a question and answer format regarding the inquiry into the status of the Welsh baccalaureate qualification. They had discussions on whether employers understood the meaning of the Welsh bac and how to actually improve the employer's understanding of the Welsh bac. Then they gave some answers regarding how well the Welsh bac helped to prepare learners for employment. In addition, they had discussions on whether there was a difference in how the Welsh bac was valued by learners at the different levels that it was studied, and to what extent that universities understood the value of the Welsh bac. They also talked about how comparable the Welsh bac was to other qualifications. Then they discussed the idea of universal adoption. Last but not least, they shared some opinions on the necessity of introducing a specialist teacher-training qualification.;"The Children, Young People and Education Committee (CYPEC) was meeting to discuss the status of the Welsh baccalaureate qualification.
The meeting began with a discussion about the current situation in Wales.
The Welsh bac qualification is a combination of qualifications, including engineering, computer science, engineering and social care.
The bac is an integral part of the curriculum, but it is not a compulsory qualification.
Therefore, the bac should be considered separately from the other qualifications, such as vocational and technical.
In the end, the meeting was about the impact of universal adoption on Wales bac.";0.4257028112449799;0.145748987854251;0.2811244979919678;0.3052208835341365;0.889975905418396;0.8773541450500488;0.8836199641227722;0.1100885391136292;0.233491404248285;0.6203462572013894;0.676829268292683;111;164;17.14995765686035;17.14995765686035;;0.202127659574468;0.0531914893617021;59.508472888743455;43.22571982323349;3.10077519379845;27.44533310820248;99.13105116769954;0.1911107554377744;0.2737607718202695;0.1084607390552792;1;1;1;2;1;2;1;3;1;2;0;0;0;0;1;2;1;2;0;0;1;2;0;0;0;0;0;0;1;1;0;0;1;1;1;2;0;0;0;0
The meeting was mainly about the reasons behind and the measurements against the increasing exclusions from school. The increase brought more pressure to EOTAS in the aspects of finance, transition, curriculum arrangement and the recruitment of professional staff. Although much time and finance had been devoted to the PRU, the education quality could still not be assured. The collaboration between the PRU and the schools required to be strengthened. Besides, training for special education ought to be included in teachers' colleges to meet EOTAS learners' special needs. Their psychological health was another concerning problem.;"The Children, Young People and Education Committee (M&E) is an inquiry on education otherwise than at school.
The meeting was mainly focused on the impact of the new curriculum on EOTAS learners.
The committee also discussed the challenges faced by the local authorities in terms of providing support and support to young people who are at risk of being excluded.
In particular, the committee discussed the difficulties faced by students who were excluded from mainstream education, and how to deal with them.
In addition, the meeting discussed the impact on the children who are excluded and how they should be treated.";0.336734693877551;0.0515463917525773;0.1938775510204081;0.2040816326530612;0.8533615469932556;0.8544085025787354;0.8538846969604492;0.0478562591469389;0.11215470473301167;1.0;1.0961538461538465;114;104;17.257112503051758;17.257112503051758;;0.1016949152542373;0.0338983050847457;53.20408947934545;36.31610979617665;3.90807962529274;5.339069523730731;99.70118023950648;0.161475563420787;0.2977376856065801;0.025213441234994;0;0;1;1;1;1;1;2;1;2;1;2;0;0;1;2;1;1;0;0;1;1;1;2;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0
The meeting between the Children, Young People and Education Committee and the Welsh Government was considered as an evidence session to scrutinise the Welsh Government's progress in developing the new curriculum for Wales. To start with, Kirsty Williams AM introduced the current feedback and emphasized that there was a concerted effort and a plan drawn up to try and ensure that there was as much engagement, knowledge and opportunity as possible in the new curriculum. Also, the spirit of co-construction was also included and the four purposes would ensure the legitimacy of changes. Besides,  'what matters' were the articulation of the big ideas and although there were significant differences between each sector, they act following the same guidance. Lastly, Kirsty Williams AM assured the meeting that human rights and financial resources were considered in the new curriculum.;"This was the Children, Young People and Education Committee's first meeting with the Welsh Government.
The meeting focused on the draft curriculum and its impact on children and young people.
The group discussed the current state of the curriculum and the impact of the new curriculum on their school performance.
In addition, the group also discussed the future direction of the current curriculum.
They also discussed how the curriculum could be adapted to meet the needs of different groups of pupils.
Finally, the meeting discussed the curriculum changes that were being proposed for Wales.";0.4188034188034187;0.1379310344827586;0.2649572649572649;0.282051282051282;0.8952023386955261;0.8559949398040771;0.875159740447998;0.0840582374239106;0.2025841998820099;0.6397985346799879;0.6912751677852349;103;149;10.182595252990723;10.182595252990724;;0.1071428571428571;0.0833333333333333;69.4162490951541;39.841929351593095;2.015151515151515;18.656853924015444;98.85378261561232;0.1957483350518065;0.3381123303578558;0.0533843397457572;1;1;1;2;1;2;1;2;1;2;0;0;0;0;1;2;1;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Project Manager introduced a new remote control project. The team started to know each other by drawing favourite animals. Project Manager proposed to price each remote control at 25 Euros, considering the 12.5-Euro production cost. The market range would be international and over all age groups. After the financial targets, the team discussed the remote design. Despite the ""one-for-all"" style, the remote was still supposed to be user-friendly. Standard features such as sorting through channels and adjusting volume would not lose their priority. The team, therefore, agreed on a style of basic buttons with a self-intuitive screen menu. Silver lightweight plastic was temporarily decided to be the material, for it is easily moulded and cost-saving.";"This is the first meeting of the new remote control project.
Firstly, Project Manager introduced the project plan.
Then, Industrial Designer and User Interface introduced the design of the remote control.
After that, the team got acquainted with each other and discussed their own ideas.
Finally, the group discussed the cost of the project and discussed how they could make it look as fashionable and stylish as a mobile phone.
Lastly, Marketing and Industrial Designer gave a presentation on the product's functional design.
They talked about the price of the product and how it could be cheaper and usable by all age groups.
Then the group talked about tool training.";0.3948497854077253;0.1038961038961039;0.1888412017167381;0.2575107296137339;0.8778283596038818;0.8537211418151855;0.865606963634491;0.0899651185103933;0.16735415337997034;0.9144514567406854;0.917910447761194;123;134;23.325586318969727;23.325586318969727;;0.1265822784810126;0.0632911392405063;79.91932205341755;39.15683739755975;3.936539119374437;14.433856612145728;99.10011646115908;0.1392970643012717;0.2149076726975008;0.0636864559050427;1;4;1;3;1;2;1;3;1;4;0;0;1;3;1;4;1;2;0;0;1;2;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;2
The team mainly made some adjustments to the remote control design to meet the new project requirements. The second meeting started with Project Manager who briefly went over the last meeting. Industrial Designer hoped to minimize the size of the battery. The team thus decided on a rechargeable one. User Interface desired to simplify the remote control style, cutting down unnecessary functions. According to the market research presented by Marketing, the team agreed on a trendy and user-friendly flip-top design. An alarm would be incorporated for detection in case the remote control was lost in the house.;"This was the second meeting of the new project requirements for the remote control.
Firstly, Industrial Designer and User Interface presented the design of the remote controls.
Then, Marketing presented the user interface design.
After that, the group discussed the functional requirements for remote control, including the number of buttons, the size of the LCD screen, the shape of the buttons, and the cost of the components.
Finally, Marketing gave a presentation on the market research findings for remote controls, and Industrial Designer gave a brief overview of the current market research results.";0.4375;0.1789473684210526;0.2395833333333333;0.3020833333333333;0.892837405204773;0.8694652318954468;0.8809963464736938;0.092786031461436;0.16432793313193597;1.0;1.009433962264151;107;106;18.716995239257812;18.71699523925781;;0.203125;0.125;63.309146492364754;49.01293421311603;0.0;47.5064714364714;99.53233120287668;0.1113473430280053;0.2130760706077286;0.009618615448282;1;4;1;4;1;3;1;3;1;3;0;0;1;2;1;3;1;1;0;0;1;1;1;1;1;2;0;0;1;1;0;0;1;1;0;0;0;0;0;0
After a brief summary of the last meeting, the team discussed the conceptual design for new remote control, which covered the properties, materials, user interface and trend watching. Marketing shared feedback about the design of the device. Industrial Designer gave a presentation on the design and availability of actual components, whereas User Interface led the discussion about customer needs and feasibility on design and competitors' study. A final decision was reached regarding the design of the remote control such as using kinetic charging and a rubber cover.;"This was the conceptual design meeting for the new remote control project.
Firstly, the team discussed the design of the remote control.
Then, they discussed the price of the components and the cost of the circuit board.
Finally, the group discussed the cost and feasibility of incorporating voice recognition into the remote.
After that, they decided to incorporate the company logo into the design.
Lastly, they talked about the market trends and the feasibility of integrating voice recognition with the current functional look and feel of remote controls.
The team also discussed the financial feasibility of adding voice recognition to the product.";0.3809523809523809;0.1818181818181818;0.2645502645502645;0.2962962962962963;0.8874921202659607;0.8766400218009949;0.8820326328277588;0.1228268485741395;0.1698577663514203;1.0;1.1875;114;96;12.89445686340332;12.89445686340332;;0.087719298245614;0.1052631578947368;77.39686201672109;42.07828121075315;0.7648999090081893;25.89080491300086;99.57913881025038;0.115234625468013;0.1838365151289556;0.0466327358070704;1;4;1;4;1;3;1;3;1;4;0;0;1;4;1;3;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1
The team mainly planned the remote control project down to the last detail in the final meeting. Industrial Designer presented the prototype as a clam-shell design with a flip-top LCD touch screen and fully closed flat buttons at the bottom. There would be a wide choice of colours and patterns due to customization. Inside the remote control, there would be a standard chip and a kinetic battery. The team was under the budget at present. Once the budget increased, however, the voice recognition would be incorporated. The remote control's fashion style and location function were most highly rated among the team members, but the minimization of repetitive strain injury was not satisfying enough. All members gave their sincere feedback on teamwork and leadership.;"The team discussed the design of the remote control and the fruit and vegetable design colours.
Industrial Designer and User Interface gave a presentation on the product specification and the market research findings.
The team also discussed the cost of the product.
The group agreed that the price should be a two and a half.
They also agreed that voice recognition should be included in the final product.
Finally, the team agreed that they should use a rubber case instead of plastic and that the rubber case should be used as a casing.
Lastly, the group agreed on the price of the device and agreed that it should be affordable.";0.3813559322033898;0.1025641025641025;0.2203389830508474;0.211864406779661;0.8684215545654297;0.848699152469635;0.8584471344947815;0.0;0.15589069178301482;0.8741932818340603;0.8814814814814815;119;135;19.062170028686523;19.062170028686523;;0.1358024691358024;0.0617283950617283;54.98748061858667;38.07801903708102;1.0869565217391306;13.912960436194863;99.23414015330906;0.1274682328220236;0.2230009564542256;0.0319355091898216;1;3;1;3;1;2;1;2;1;3;0;0;1;3;1;3;1;3;1;1;1;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Project Manager invites teammates to brainstorm animal characteristics on remote control function and suggest a reflection on user experience to improve technical function design. Price goal is 25 Euro, profit aim is fifty million Euro, and sales goal is four million. To summarize, the function design will be user-friendly and practical, in which the technical function will be portable phone based, hand-sized, light with limited but all-functioned buttons.;"This is the kick off meeting for the next phase of the project.
Firstly, Project Manager introduced the team members to each other and introduced the target of the remote control.
Then, Marketing introduced the project plan and discussed its aims at the moment.
After that, Industrial Designer drew a drawing of his favourite animal on a white board.
Then User Interface drew a picture of the animal on the white board, and Marketing drew the same drawing.
Finally, Marketing gave a presentation on the working design of remote control, and the team agreed that it should be simple and user friendly.";0.2312138728323699;0.0350877192982456;0.1734104046242774;0.2080924855491329;0.846138060092926;0.8474918007850647;0.8468143939971924;0.0;0.0658476944573824;1.0;1.4805194805194806;114;77;27.653892517089844;27.653892517089844;;0.06;0.08;66.94977906166699;35.84324162189302;0.0;8.129733365840314;99.39999149983876;0.1093284579281267;0.1765738413151767;0.0420830745410766;1;4;1;4;1;3;1;2;1;3;0;0;1;2;1;3;1;4;1;3;1;3;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;3;0;0
The meeting started by discussing the functional design of the remote control. Marketing gave the study on user needs and target groups. User Interface gave the presentation on technical effect design and Industrial Designer gave the presentation on working design. Then Project Manager initiated new project requirements brainstorming. The group had agreed on the on-call button design, DVD capability button design, power button design, and denied speech recognition design as well as mouse pad design. They would further discuss the function switch button and its compatibility in the next meeting.;"This was the functional design meeting for the remote control project.
The team discussed the technical functions design and the working design of the remote.
First of all, the team talked about user needs, technical effects, and working design.
Then, they talked about the functions design, and the functional requirements of the new remote control.
They also discussed the function of the buttons, the number of buttons, and how to design according to their functional requirements.
Finally, the group discussed the functional functions design.
The group talked about how the remote should be designed according to the user needs.";0.4;0.1382978723404255;0.2526315789473684;0.2421052631578947;0.896351158618927;0.8722426891326904;0.8841326236724854;0.0995554203395691;0.16750638143133487;1.0;1.1515151515151516;114;99;16.2896728515625;16.2896728515625;;0.0967741935483871;0.0483870967741935;59.73366544423276;38.86320095828978;1.8710493046776235;15.237104562955087;99.48144900723663;0.2300049775020517;0.3502484029675612;0.1097615520365422;1;4;1;4;1;2;1;2;1;4;0;0;1;3;1;3;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
This meeting was mainly about conceptual design. Industrial Designer, Marketing and User Interface gave presentations mainly on component design, current trend and interface design respectively, based on their research on the website incorporating the ideas from last meeting. A lot of discussions was centred around the fruit and vegetable theme, which was the current marketing trend. In the meanwhile, they had some discussions on physical attributes and the use of energy. They agreed that the screen was not necessary, and TV could be used as the screen instead. In addition, Kryptonite became their preferred energy.;"The group discussed the components design of the remote control.
Firstly, they discussed the shape of the buttons, the size of the screen, the colour of the rubber case, and the material.
Then, they talked about the material design.
After that, the group discussed how the remote should look like a fruit and vegetable.
Finally, the team discussed the design of a touch-based graphical interface system.
The team decided to use the wheely material instead of a rubber case for the LCD screen.
Then the group talked about how the material should be used for the remote, and how it should be easy to switch to.";0.3069306930693069;0.06;0.1881188118811881;0.1881188118811881;0.8592467904090881;0.8555068969726562;0.8573728203773499;0.0;0.10347825080445401;1.0;1.1203703703703705;121;108;17.02379608154297;17.02379608154297;;-0.0163934426229508;0.0;77.5208219527358;36.17321219982699;0.0;9.153096241998044;99.36654035748292;0.1417986171004385;0.2502571454295696;0.0333400887713075;1;4;1;3;1;2;1;2;1;4;0;0;1;3;1;4;1;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;1;2
Project Manager initiated the meeting topic on the detailed design. Specifically, the prototype presentation was given by Industrial Designer, and calculation on each evaluation criteria was led by Marketing. Next, group members discussed changing aspects of the remote. Finally, they decided on changing the shape, instead of batteries. Then, Project Manager had a discussion on the process of the project with other teammates, including room for creativity, leadership, and convenience of materials. The group decided to write a final report in the end.;"This was the detailed design meeting for the remote control project.
Firstly, Industrial Designer and User Interface gave a detailed presentation on the design of the remote controls.
Then, Project Manager gave a presentation on how they would design the remote.
After that, Marketing and Industrial Designer gave a discussion on the shape and size of the buttons.
Finally, Marketing gave an overview of the process of designing the remote, including the shape, the size, the colour, the shape of the material, the material and the material.
Lastly, Marketing presented a presentation about the production evaluation criteria for remote control designs.";0.4565217391304347;0.1868131868131868;0.2826086956521739;0.3043478260869565;0.8885194063186646;0.8804025650024414;0.8844423294067383;0.1256512074978368;0.20187424843583607;1.0;1.1938775510204085;117;98;18.687591552734375;18.68759155273437;;0.173076923076923;0.0576923076923076;64.40798906687807;43.2577247292022;5.353264349919868;24.92433958659837;99.49557025108837;0.1730285503056947;0.2521892205533934;0.0938678800579961;1;4;1;3;1;2;1;2;1;3;0;0;1;3;1;3;1;2;1;2;0;0;1;2;1;2;0;0;1;2;1;2;0;0;0;0;1;2;0;0
The meeting, which was held at the early stage of the project, focused on the product features and work division. Project manager proposed that the remote control had to be imaginative, trendy, user-friendly and international. Besides, the production cost should be no more than 12.5 Euros. In terms of the price, all members agreed that 25 Euros would be reasonable. They also clarified each person's duty. In the time remaining, the members did some tool training by drawing their favourite animals on the whiteboard.;"This is the first meeting of the new remote control project.
Firstly, Industrial Designer introduced the project method.
Then, User Interface introduced the design of the remote control and Industrial Designer gave a presentation about the functional design.
After that, Marketing introduced the technical fun functions and Industrial Design introduced the user requirement specifications.
Finally, the team discussed the technical function design and the selling price of the product.
Industrial Designer then introduced the product design and User Interface drew the animal.
Then the team talked about the technical functions and the user requirements specifications.
Lastly, Project Manager introduced the team members' roles.";0.2631578947368421;0.0744680851063829;0.1894736842105263;0.2105263157894737;0.858241617679596;0.8590183258056641;0.8586298227310181;0.0;0.08637589100186749;1.0;1.1958762886597938;116;97;28.045446395874023;28.045446395874023;;0.0925925925925925;0.0;56.76390227414081;38.03697760104168;0.0;15.185889487423944;98.92504331570107;0.0801454183113674;0.0874388317537048;0.0728520048690299;1;4;1;3;1;3;1;1;1;2;0;0;1;3;1;3;1;1;1;1;0;0;1;1;1;3;0;0;0;0;0;0;0;0;1;2;1;4;1;3
"This was a functional design meeting. Based on the presentations of the user interface designer, the industrial designer and the marketing expert, the project manager concluded that the new remote control should be powerful, easy to use, fashionable, recognizable, only for television and Internet-connected. After discussing the industrial design of the product, the group reached the agreement to design an infrared-based controller with less buttons but whether the product would be wireless was still unsolved. As for the product appearance, the group decided to make the product look fancy and recognizable; nevertheless, they had different opinions on the colour of the product.";"The meeting was mainly about the functional design of the remote control.
Industrial Designer presented the technical function design for user interface, User Interface designer presented user interface design, Marketing presented User Interface design, and Marketing presented the industrial design.
The industrial design was simple and easy to use.
The user interface designer presented the user interface concept.
The User Interface Designer presented a presentation on the technical functions design for remote control, and the Industrial Designer gave the presentation on user interface.
The group then discussed the product requirements and the cost of the product.
Finally, the group decided to design a wireless remote control based on the current market trends.";0.4907407407407407;0.2336448598130841;0.2962962962962963;0.3240740740740741;0.8889775276184082;0.8845490217208862;0.8867577910423279;0.1149642967954791;0.188357472704511;1.0;1.0689655172413792;124;116;18.038299560546875;18.038299560546875;;0.234375;0.109375;53.04111840333859;43.53498578387011;4.639153502270469;26.672637866822058;99.2931659825178;0.1710580651325116;0.2881488026281597;0.0539673276368636;1;4;1;3;1;2;1;3;1;4;0;0;1;3;1;2;1;1;1;1;0;0;1;3;1;4;0;0;1;2;0;0;1;2;0;0;0;0;0;0
This meeting was about conceptual design. The user interface designer first introduced three concepts in the user interface - Google controller, fancy controller, and intelligent controller. The first two were approved by the project manager, but the last one was seriously questioned. The group finally decided to mix the Google controller and fancy controller with some simple vocal commands. The discussion about product industrial design covered three aspects —material, alimentation, and chip. The industrial designer suggested using wood and having buttons with LCD, applying the classical battery and solar energy alimentation, and using low level chips, which was agreed by the group. The marketing expert gave three points from the market analysis. Users would like to have a fancy look and feel and the product should be technologically innovative. At the same time, being user-friendly was also important. Then the group discussed how to make these requirements into practice.;"This meeting was mainly about the conceptual design of the remote control.
Firstly, Industrial Designer introduced the concept of user interface.
Then, User Interface introduced the design of a remote control with speech recognition and gesture recognition.
Next, Industrial Design introduced the prototype of a smart controller with voice recognition.
After that, the team discussed the technical aspects of the new remote control, such as its functionality, its design, and its interface design.
Finally, the group discussed the interface design, the functions, and the cost of the product.";0.3459915611814346;0.1106382978723404;0.2278481012658227;0.2278481012658227;0.8884830474853516;0.8545976877212524;0.871211051940918;0.0;0.15183997422718157;0.5404329964865341;0.6190476190476191;104;168;16.605566024780273;16.605566024780273;;0.1142857142857142;0.0666666666666666;69.62416182312656;37.590885470982286;4.557504575960952;9.381953778166755;98.83319805881914;0.151972793498884;0.2731835463167852;0.0307620406809827;1;4;1;4;1;2;1;4;1;5;0;0;1;2;1;3;1;4;1;1;1;4;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
This was a meeting on the detailed design. First, the user interface designer presented a prototype to show the basic colour and shape of the product. Next, the marketing suggested doing some product evaluation instead of just talking about it, so the group started to judge the design in three aspects: how fancy, technologically innovative, and easy-to-use the remote control was. It got three, two, and four in separate aspects, which meant the design was acceptable. Later, the group discussed the quotation and made some decisions on details of industrial design to make sure the cost was within the budget. Furthermore, they came up with some new ideas about future products, such as a fruit collection of electronic devices or a customizable TV that followed the trend and people's moods. Finally, the group named the product as pineapple remote control.;"This was the first detailed design meeting of the new remote control project.
Firstly, Industrial Designer presented the prototype of the remote control.
Then, User Interface presented the final product prototype.
After that, the team discussed the cost of the project.
Industrial Designer then gave the presentation of the prototype.
User Interface then gave a presentation about the design.
Industrial designer then gave an overview of the production cost.
Then the team evaluated the prototype by comparing it to the previous prototype.
Finally, the project manager gave the final decision on the cost.";0.4067796610169492;0.1111111111111111;0.2288135593220339;0.2881355932203389;0.8922893404960632;0.8579360842704773;0.8747755885124207;0.0442894079804464;0.1798547883087176;0.6008355781872444;0.6625;106;160;14.811675071716309;14.811675071716309;;0.0227272727272727;0.0227272727272727;60.103725423108486;40.00545400818829;2.765629019809622;18.14199940243229;99.10873360232296;0.1660868628189871;0.2924089796259068;0.0397647460120675;1;4;1;3;1;1;1;3;1;3;0;0;1;3;1;4;1;4;1;2;1;4;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The meeting began with the Project Manager announcing the task and the agenda. The group should design an original, trendy, and user-friendly remote control through the following meetings. First of all, they did a brief equipment testing on their laptops, the pens, and the whiteboard to ensure they would work. Then getting to the main point of this meeting, the group talked about the budget and reached the agreement that it had to be a universal remote control with such a high price. The group also discussed the functions, the shape and other external design of the remote design, as well as drawing them down as a conceptual draft.;"Project Manager started the meeting with a presentation about the remote control.
Industrial Designer, User Interface, Marketing, and Industrial Designer gave a presentation on the functional design of remote controls.
The remote control was designed to be original, trendy, user-friendly, and the user requirements were satisfied.
After that, the team discussed the design of a universal remote control and how to make it special.
Then, the group discussed the functions of a remote control with a touchscreen on the back.
The team also talked about the functions and the price of the product.
Finally, the meeting concluded with a discussion about the price and the design.";0.5622119815668204;0.1860465116279069;0.304147465437788;0.3410138248847926;0.8918946981430054;0.8719257116317749;0.8817971348762512;0.114544016098504;0.22834390394824777;1.0;1.0;122;122;20.450801849365234;20.450801849365234;;0.1594202898550724;0.1304347826086956;67.7072581827865;53.06348541613736;5.728640336103002;54.166616126004726;99.29519978630432;0.0859614033183489;0.1552133806981146;0.0167094259385833;1;4;1;3;1;1;1;3;1;2;0;0;1;2;1;4;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
This meeting was about the functional design of the remote control. Firstly, Marketing gave a presentation on functional requirements. Group decided to focus on the fancy and fashionable look, usability, and different colors. Next, User Interface gave a presentation on the technical function design. Also, the group discussed this topic, and they decided to design the menu buttons of the remote similar to the mobile phone. Then, Industrial Designer gave a presentation on the working design. Group mates discussed deciding on the use of LED light on the buttons to indicate the transmitting of the Morse code when pressing the button. They also decided to use a more intelligent chip than the standard one when the circuit was closed, it would produce the pattern. For the age group, they would target the age group below forty since it was a young market.;"The group discussed the working design of the remote control.
Industrial Designer, User Interface, Marketing, Industrial Designer and Industrial Designer gave a presentation on the design of remote controls.
They talked about the basic functions, like buttons, volume, channels, etcetera.
They also talked about how they could make it more like a mobile phone.
Then, they discussed how to make it look and feel like a remote control for the elderly people.
Finally, they talked about their personal preferences.
They decided to use standard buttons instead of the standard ones.
The group decided to make a new remote control with a simple design.";0.4816326530612244;0.2222222222222222;0.2612244897959183;0.3510204081632653;0.8993395566940308;0.8775177001953125;0.8882945775985718;0.1478520058792109;0.27455794247294746;0.7165313105737893;0.75;120;160;16.45120620727539;16.45120620727539;;0.2386363636363636;0.1477272727272727;80.02367342661533;41.10005250345887;6.139210720806887;17.98174390398367;99.17920288558608;0.1087960911235833;0.1481827248267277;0.069409457420439;1;4;1;4;1;2;1;4;1;3;0;0;1;3;1;3;1;3;0;0;1;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1
This meeting was about the functional design of the remote control. Firstly, Marketing gave a presentation on the remote control market trend and suggested a fancy look as well as technology innovation features. Secondly, User Interface presented on technical function design and recommended changeable fonts on remote buttons and a modern look with a handheld shape. Thirdly, Industrial Designer presented on component design and suggested a soft material case with flashy colors and transparent buttons. Industrial Designer thought the normal infrared LED should be sufficient. Lastly, the group discussed the remote's features and they decided to have features including normal battery, scroll wheel, round shape, and speech recognition.;"The group discussed the conceptual model of the remote control.
Industrial Designer and User Interface gave a presentation on the conceptual design.
Then, Project Manager gave a brief discussion on the cost of the new remote control and suggested that it should be simple and easy to use.
The group also discussed the design of the LCD screen and the shape of the buttons.
Finally, the group decided that they should make the LCD display with a scroll wheel on the side and the back-lights b on the top of it.";0.4378109452736319;0.1809045226130653;0.2587064676616915;0.2189054726368159;0.8936117887496948;0.87480628490448;0.8841090202331543;0.1192858127709196;0.22337105420030193;0.7908128981596699;0.8099173553719008;98;121;24.95676040649414;24.95676040649414;;0.2025316455696202;0.1265822784810126;73.3795080225143;41.67800300356248;5.060961536679444;20.715693506054148;99.25735396795385;0.0852498594242692;0.1379568819096311;0.0325428369389072;1;4;1;5;1;1;1;4;1;2;0;0;1;3;1;3;1;2;1;2;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
